code_postal;nb_annonces;loyer_moyen;loyer_m2_moyen
57140.0;1;840.0;14.0
57150.0;10;529.5;9.94
57158.0;1;780.0;11.82
57180.0;1;795.0;13.47
57185.0;1;560.0;16.97
57190.0;1;735.0;13.87
57200.0;122;609.63;10.63
57220.0;5;631.2;9.09
57240.0;1;390.0;15.6
57255.0;2;820.0;12.32
57270.0;1;835.0;12.85
57280.0;4;850.0;12.26
57300.0;5;851.0;13.82
57350.0;3;650.0;7.11
57390.0;5;1064.6;23.24
57400.0;32;693.16;9.67
57460.0;2;821.0;8.17
57480.0;3;1253.33;11.45
57500.0;22;597.09;11.52
57600.0;104;587.37;10.55
57630.0;1;330.0;13.75
57640.0;1;1380.0;15.86
57700.0;4;653.5;11.24
57800.0;11;461.55;11.45
57860.0;1;620.0;11.48
57950.0;67;780.58;14.84
57970.0;10;833.6;15.74
58000.0;221;545.26;12.3
58200.0;19;455.53;12.05
58600.0;7;488.14;8.61
59000.0;811;753.93;23.37
59100.0;524;607.27;19.64
59110.0;171;913.78;20.8
59111.0;2;729.5;11.28
59117.0;1;809.0;12.64
59120.0;167;631.87;21.65
59122.0;3;863.33;9.04
59130.0;68;865.04;20.17
59139.0;36;845.08;17.73
59140.0;50;674.88;19.69
59150.0;8;677.12;14.63
59155.0;17;634.59;18.09
59160.0;14;534.57;32.21
59163.0;4;551.25;17.85
59170.0;61;844.16;19.29
59171.0;1;740.0;10.42
59172.0;1;920.0;7.8
59178.0;2;699.5;10.52
59190.0;32;677.09;11.85
59200.0;328;638.39;17.77
59210.0;1;775.0;16.49
59220.0;34;598.15;11.0
59230.0;6;712.67;9.26
59240.0;16;829.5;19.08
59250.0;11;655.27;13.89
59255.0;1;850.0;13.08
59260.0;12;681.17;18.27
59280.0;82;646.45;14.19
59290.0;13;862.62;16.21
59300.0;398;573.86;17.33
59320.0;8;696.38;18.74
59330.0;3;500.0;19.67
59350.0;23;941.52;18.84
59360.0;8;580.88;10.14
59370.0;38;766.84;18.67
59390.0;5;681.2;18.15
59400.0;133;561.28;14.69
59410.0;26;488.0;13.15
59420.0;5;1112.0;13.57
59430.0;1;450.0;26.47
59450.0;6;612.5;11.96
59490.0;1;700.0;10.61
59491.0;51;762.39;25.45
59493.0;3;976.67;29.78
59500.0;120;608.81;16.94
59520.0;2;669.0;15.05
59540.0;6;573.0;9.35
59580.0;1;550.0;14.47
59590.0;4;515.0;14.23
59600.0;54;581.11;13.03
59620.0;1;590.0;8.81
59650.0;60;606.53;24.62
59700.0;82;1059.35;18.15
59770.0;13;616.54;12.12
59777.0;3;871.33;27.68
59790.0;24;643.25;23.78
59800.0;170;792.65;25.26
59850.0;2;744.5;11.93
59870.0;1;950.0;8.64
59940.0;2;718.0;8.47
60000.0;195;651.92;15.92
60100.0;66;747.12;18.89
60129.0;1;1117.0;10.54
